,DH,DZDM,Cu,Zn,Ni,Pb,Ag,Co,Mo,W,As,Sb,Bi,Hg,Au,Sn,Sum,Geo_object
17370,099c2,4,10.2,48.6,13.6,14.6,0.062,6.1,1.54,3,15,2.42,0.19,0.0185,0.0017,3.82,137.6,SPSE2
17371,099d1,4,7.2,51.2,1.9,10.2,0.126,2.6,1.72,2.81,54.7,4.38,0.21,0.0196,0.0015,3.72,160.4,SPSE2
17372,099d2,4,6.2,54.2,10.6,14.5,0.083,8.4,2.36,3.2,65,4.39,0.36,0.0076,0.0016,1.92,178.8,SPSE2
17373,100c2,4,6.2,48.2,3.6,10.5,0.078,2.6,1.66,1.27,21.8,1.02,0.12,0.017,0.0014,3.46,117.5,SPSE2
17374,100d2,4,8.4,47.2,2.1,24.6,0.142,1.8,1.82,2.31,58.6,3.66,0.42,0.006,0.0016,4.32,161.4,SPSE2
17375,118d1,4,2.4,40.2,2.6,14.6,0.068,1.9,1.26,1.52,112,7.79,0.35,0.0133,0.0015,5.42,203.4,SPSE2
17376,118d2,4,4.5,54.2,1.9,16.2,0.082,2.6,1.36,3.43,116,4.51,0.14,0.0259,0.0016,2.46,233.3,SPSE2
17377,119b1,4,8.2,41.2,1.9,20.3,0.245,1.8,2.15,2.58,92.7,4.75,0.21,0.0199,0.0015,6.8,202.7,SPSE2
17378,119b2,4,9.6,42.6,1.9,8.5,0.062,1.9,0.76,1.79,28.4,3.4,0.07,0.0149,0.0015,3.56,117.4,SPSE2
17379,119c1,4,9.2,45.6,4.2,14.2,0.105,2.1,2.83,1.1,96.6,4.07,0.49,0.0267,0.0016,2.74,209.9,SPSE2
17380,119c2,4,10.2,42.5,2.8,21.6,0.214,1.8,1.42,2.19,188,4.19,0.5,0.0236,0.0015,2.46,301.5,SPSE2
17381,119d1,4,14.5,57.6,8.2,13.5,0.075,9.2,1.28,5.72,102,3.93,0.2,0.0173,0.0017,2.06,235.6,SPSE2
17382,119d2,4,12.4,54.2,12.6,24.6,0.142,7.6,2.86,9.1,1640,33.87,0.64,0.069,0.0079,4.83,1872,SPSE2
17383,120a1,4,10.5,42.6,1.9,14.2,0.296,2.6,8.42,8.3,105,9.35,0.3,0.0167,0.0016,2.36,222.5,SPSE2
17384,120a2,4,35.6,52.6,48.2,13.2,0.062,12.5,3.76,5.59,83.4,6.14,0.13,0.0296,0.0015,2.16,292.9,SPSE2
17385,120b1,4,8.2,60.2,6.2,26.2,0.064,10.2,2.84,3.14,27.6,1.51,0.19,0.008,0.0015,2.19,156.5,SPSE2
